"card_id","card_name","collection_name","type_name","stage_name","hp","info","attack","damage","weak","resis","retreat","card_number_in_collection","collection_release_date","card_created_at"
1,"Charizard","Base Set","Fire","Stage 2",120,"Flame Pokémon. Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.","Fire Spin",100,"Water","Fighting -30","3 Colorless","4/102","1999-01-09","2026-08-10 11:08:22.489454-03"
2,"Blastoise","Base Set","Water","Stage 2",100,"Shellfish Pokémon. A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.","Hydro Pump",40,"Lightning",NULL,"3 Colorless","2/102","1999-01-09","2026-08-10 11:08:22.489454-03"
3,"Venusaur","Base Set","Grass","Stage 2",100,"Seed Pokémon. This plant blooms when it absorbing solar energy. It stays on the move to seek sunlight.","Solarbeam",60,"Fire",NULL,"2 Colorless","15/102","1999-01-09","2026-08-10 11:08:22.489454-03"
4,"Pikachu","Base Set","Lightning","Basic",40,"Mouse Pokémon. When several of these Pokémon gather, their electricity can cause lightning storms.","Thunder Jolt",30,"Fighting",NULL,"1 Colorless","58/102","1999-01-09","2026-08-10 11:08:22.489454-03"
5,"Mewtwo","Base Set","Psychic","Basic",60,"Genetic Pokémon. A Pokémon created by a scientist after years of horrific gene splicing and DNA engineering.","Psychic",10,"Psychic",NULL,"2 Colorless","10/102","1999-01-09","2026-08-10 11:08:22.489454-03"
6,"Machamp","Base Set","Fighting","Stage 2",100,"Superpower Pokémon. Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.","Seismic Toss",60,"Psychic",NULL,"3 Colorless","8/102","1999-01-09","2026-08-10 11:08:22.489454-03"
7,"Gyarados","Base Set","Water","Stage 1",100,"Atrocious Pokémon. Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","Dragon Rage",50,"Grass","Fighting -30","3 Colorless","6/102","1999-01-09","2026-08-10 11:08:22.489454-03"
8,"Alakazam","Base Set","Psychic","Stage 2",80,"Psi Pokémon. Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000.","Confuse Ray",30,"Psychic",NULL,"3 Colorless","1/102","1999-01-09","2026-08-10 11:08:22.489454-03"
9,"Snorlax","Jungle","Colorless","Basic",90,"Sleeping Pokémon. Very lazy. Just eats and sleeps. As its belly bulges, it becomes progressively more lethargic.","Body Slam",30,"Fighting","Psychic -30","4 Colorless","11/64","1999-06-16","2026-08-10 11:08:22.489454-03"
10,"Jolteon","Jungle","Lightning","Stage 1",70,"Lightning Pokémon. It accumulates negative ions in the atmosphere to blast 10,000-volt lightning bolts.","Pin Missile",20,"Fighting",NULL,"1 Colorless","4/64","1999-06-16","2026-08-10 11:08:22.489454-03"
11,"Vaporeon","Jungle","Water","Stage 1",60,"Bubble Jet Pokémon. Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.","Water Gun",30,"Lightning",NULL,"1 Colorless","12/64","1999-06-16","2026-08-10 11:08:22.489454-03"
12,"Flareon","Jungle","Fire","Stage 1",70,"Flame Pokémon. When storing thermal energy in its body, its temperature can soar to over 1,400 degrees Fahrenheit.","Flamethrower",60,"Water",NULL,"1 Colorless","3/64","1999-06-16","2026-08-10 11:08:22.489454-03"
13,"Gengar","Fossil","Psychic","Stage 2",80,"Shadow Pokémon. Under a full moon, if shadows start to move and laugh, it is acting on Gengar's behalf.","Dark Mind",30,NULL,"Fighting -30","1 Colorless","5/62","1999-10-10","2026-08-10 11:08:22.489454-03"
14,"Dragonite","Fossil","Dragon","Stage 2",100,"Dragon Pokémon. An extremely rarely seen marine Pokémon. Its intelligence is said to match that of humans.","Slam",40,NULL,"Fighting -30","2 Colorless","4/62","1999-10-10","2026-08-10 11:08:22.489454-03"
15,"Zapdos","Fossil","Lightning","Basic",80,"Electric Pokémon. A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.","Thunderstorm",60,NULL,"Fighting -30","2 Colorless","15/62","1999-10-10","2026-08-10 11:08:22.489454-03"
